2026/04/13 18:10:36 [error] 267169#267169: *14938954 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.8, server: gdi.ps.fhgdps.com, request: "POST /dashboard/updateGJUserScore22.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/13 18:10:38 [error] 267169#267169: *14938954 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.8, server: gdi.ps.fhgdps.com, request: "POST /dashboard/getGJLevels21.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/13 18:10:43 [error] 267169#267169: *14938954 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.8, server: gdi.ps.fhgdps.com, request: "POST /dashboard/getGJDailyLevel.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/13 18:10:58 [error] 267169#267169: *14938954 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.8, server: gdi.ps.fhgdps.com, request: "POST /dashboard/accounts/loginGJAccount.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/13 18:11:06 [error] 267169#267169: *14938954 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.8, server: gdi.ps.fhgdps.com, request: "POST /dashboard/updateGJUserScore22.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/13 18:11:06 [error] 267169#267169: *14938954 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.8, server: gdi.ps.fhgdps.com, request: "POST /dashboard/getGJUsers20.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/13 18:11:13 [error] 267169#267169: *14938954 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.8, server: gdi.ps.fhgdps.com, request: "POST /dashboard/getGJScores20.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/13 18:11:14 [error] 267169#267169: *14938954 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.8, server: gdi.ps.fhgdps.com, request: "POST /dashboard/getGJScores20.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/13 18:11:17 [error] 267169#267169: *14938954 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.8, server: gdi.ps.fhgdps.com, request: "POST /dashboard/getGJScores20.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/13 18:11:22 [error] 267169#267169: *14938954 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.8, server: gdi.ps.fhgdps.com, request: "POST /dashboard/getGJLevels21.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/13 18:11:58 [error] 267169#267169: *14938954 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.8, server: gdi.ps.fhgdps.com, request: "POST /dashboard/accounts/registerGJAccount.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/13 20:11:51 [error] 307795#307795: *14986755 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 89.130.136.162, server: gdi.ps.fhgdps.com, request: "GET /switcher/getInfo.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
